M,N,K,topk,E,calc_diff,pass
1,768,256,6,32,3.671e-06,True
1,768,256,8,128,3.937e-06,True
7,768,512,6,32,3.809e-06,True
7,768,512,8,128,3.693e-06,True
33,1024,1024,6,32,3.574e-06,True
33,1024,1024,8,128,3.542e-06,True
128,2048,512,6,32,3.539e-06,True
128,2048,512,8,128,3.443e-06,True
1024,2048,1024,6,32,3.515e-06,True
1024,2048,1024,8,128,3.463e-06,True
